timestamps,prices_0x,prices_augur,prices_basic-attention-token,prices_bitcoin,prices_bitcoin-cash,prices_chainlink,prices_compound-governance-token,prices_cosmos,prices_dai,prices_dash,prices_eos,prices_ethereum,prices_ethereum-classic,prices_kyber-network,prices_litecoin,prices_maker,prices_omisego,prices_orchid-protocol,prices_ripple,prices_stellar,prices_tezos,prices_zcash
2017-10-16,0.22080222012448322,18.7419,0.1665946278246225,5643.85907705172,357.65074356772965,,,,,300.4713697249427,0.5580149345408817,317.898212514702,11.9168,,59.831830017551724,,8.02413,,0.226969,0.0462578,,231.429
2017-10-17,0.21901289230341414,18.3676,0.1625812819511133,5592.78222421231,339.9392507503844,,,,,296.93361973177656,0.5498179828740617,314.456554240651,11.5698,,60.79644893068493,,7.88804,,0.219275,0.0352468,,229.775
2017-10-18,0.22435306505083122,18.1371,0.1539469048514485,5696.38014134367,332.29443516662326,,,,,295.76471441274566,0.5703664939378416,308.4746839282341,11.3512,,59.80946071354532,,7.90127,,0.213848,0.0314384,,230.386
2017-10-19,0.21161682769880352,17.5134,0.1514758898109507,5952.7713587923,326.07688373957774,,,,,287.2024733739647,0.5447550917715613,302.35649692557024,11.2441,,59.9733345707149,,7.32634,,0.210527,0.0262496,,222.797
2017-10-20,0.20424337802865633,16.8123,0.14395659363302438,6043.96673129542,326.352286892448,,,,,279.26561775747956,0.5340131565698445,300.69384596228315,10.9011,,58.08103648759309,,7.37178,,0.207555,0.037047,,212.21
2017-10-21,0.2045419184935277,16.807,0.14271482931602977,6003.4640189335,332.4749679198314,,,,,275.87682756963045,0.5309204578868311,295.4882479105146,10.8196,,56.54888451124239,,7.66995,,0.203929,0.0310551,,213.939
2017-10-22,0.19279744388410786,16.3884,0.14227248332124354,5959.98304059248,320.148310975236,,,,,289.8813798250923,0.5024004667168285,289.4140251237576,10.3137,,54.87817133086867,,7.61491,,0.198939,0.0344943,,207.016
2017-10-23,0.20311875565250306,17.5939,0.15805097927264825,5550.08158528565,328.5132067574072,,,,,294.3684678270282,0.5230893548919059,298.75573430773346,10.5997,,55.84174923434772,,8.08063,,0.207547,0.0369042,,215.96
2017-10-24,0.19614118011163192,18.0583,0.15391714814567528,5704.87480650775,334.9416599350454,,,,,288.05448007171077,0.5117415138767953,298.4839668215046,10.6681,,56.25756697748956,,7.70162,,0.204953,0.0347371,,219.167
2017-10-25,0.19821988954511857,17.6996,0.14811025282752135,5883.05318447111,337.83789862525225,,,,,284.862881926375,0.5227219645382565,295.7078546189935,10.4965,,55.733682645143894,,7.63995,,0.203689,0.034984,,234.593
2017-10-26,0.1916834689045956,17.4316,0.14307811117533709,5775.51666530736,370.23666546696853,,,,,281.5916367579381,0.5224487822615764,297.9291296930045,10.387,,55.264935444737105,,7.47502,,0.202493,0.0341937,,244.451
2017-10-27,0.19295745793360233,17.2787,0.15466210152928722,5734.30745398276,426.2846811030298,,,,,275.33389205639264,0.533636059085578,296.4649529071602,10.5486,1.0924698648752913,54.431461863928426,,7.18997,,0.20161,0.0310219,,232.341
2017-10-28,0.19138665194688959,17.7854,0.14411195542965244,6123.54977135535,443.4711180133599,,,,,282.15808302876206,0.6569615745473056,303.74113040048763,10.8654,0.9815563109461126,56.85374883232963,,7.28755,,0.202587,0.0303442,,235.109
2017-10-29,0.1864698886550372,16.9982,0.14607828339088882,6104.38870915078,448.6093808788635,,,,,284.6647410189508,0.7096561706968306,306.2494615338919,10.8648,0.976847207405854,56.14246066612937,,7.21183,,0.202776,0.0317755,,243.37
2017-10-30,0.1719173987206173,17.504,0.15233511798656238,6368.65164135745,439.90626613125244,,,,,275.72885294862664,0.7739066114707913,303.54211702851427,10.632,0.9430047719107684,54.947872614631876,,6.88589,,0.200793,0.0292673,,233.134
2017-10-31,0.16752406071057352,17.1469,0.1385121965538366,6714.78898671902,531.2131655283242,,,,,270.95196080776645,1.0417863451154556,292.33053872865435,10.2493,0.9595914732247155,53.183186973795024,,6.08101,,0.194131,0.0274181,,222.302
2017-11-01,0.16943581653357745,16.3968,0.16233852979129051,7059.7938605488,596.1184313679319,,,,,262.5167492340284,1.1293352667128005,287.0696687458828,10.0517,0.9391924656547891,54.84768763760276,,6.32537,,0.205095,0.027252,,216.948
2017-11-02,0.18146922495312418,17.5633,0.1474310415324328,7234.73838202036,646.5753613256135,,,,,281.49053637401335,1.2227881316785512,305.8432726789198,12.3996,0.9936308590770826,56.20849968942875,,6.71031,,0.208601,0.0277098,,232.647
2017-11-03,0.18311832278877366,17.481,0.14149299180302283,7390.53522652395,620.7893523548097,,,,,274.83516840682296,1.118835066185263,299.9549103522952,11.9202,1.0408094457987718,55.03892514594321,,6.40948,,0.204145,0.0272925,,230.665
